"path","area","kind","lines","bytes"
".dockerignore","other","other","65","1611"
".github/CODEOWNERS","ci-governance","other","66","4410"
".github/dependabot.yml","ci-governance","yaml","36","891"
".github/ISSUE_TEMPLATE/bug_report.md","ci-governance","markdown","45","1052"
".github/ISSUE_TEMPLATE/feature_request.md","ci-governance","markdown","35","1026"
".github/PULL_REQUEST_TEMPLATE.md","ci-governance","markdown","49","1942"
".github/workflows/build.yml","ci-governance","yaml","415","16134"
".github/workflows/build-watcher-image.yml","ci-governance","yaml","117","4300"
".gitignore","other","other","44","969"
".gitmodules","other","other","13","463"
"AGENTS.md","other","markdown","178","11728"
"ARCHITECTURE.md","root-governance-docs","markdown","167","10130"
"book.toml","other","toml","32","796"
"bridge/neo-zkvm-guest/Cargo.lock","zkvm-bridge","other","282","7052"
"bridge/neo-zkvm-guest/Cargo.toml","zkvm-bridge","toml","32","1255"
"bridge/neo-zkvm-guest/README.md","zkvm-bridge","markdown","101","3793"
"bridge/neo-zkvm-guest/src/lib.rs","zkvm-bridge","rust","379","12264"
"bridge/neo-zkvm-guest/src/main.rs","zkvm-bridge","rust","19","626"
"bridge/neo-zkvm-host/build.rs","zkvm-bridge","rust","96","3245"
"bridge/neo-zkvm-host/Cargo.toml","zkvm-bridge","toml","25","873"
"bridge/neo-zkvm-host/README.md","zkvm-bridge","markdown","143","5583"
"bridge/neo-zkvm-host/src/bin/prove_batch.rs","zkvm-bridge","rust","359","13158"
"bridge/neo-zkvm-host/src/lib.rs","zkvm-bridge","rust","132","5489"
"bridge/neo-zkvm-host/tests/end_to_end.rs","zkvm-bridge","rust","98","3720"
"Cargo.lock","other","other","6197","155087"
"Cargo.toml","other","toml","24","698"
"CHANGELOG.md","other","markdown","5564","365254"
"contracts/Directory.Build.props","contracts","other","42","2053"
"contracts/L2Native.ExternalBridgeContract/L2Native.ExternalBridgeContract.csproj","contracts","csproj","9","216"
"contracts/L2Native.ExternalBridgeContract/L2NativeExternalBridgeContract.cs","contracts","csharp","250","11301"
"contracts/L2Native.L2BatchInfoContract/L2BatchInfoContract.cs","contracts","csharp","98","4193"
"contracts/L2Native.L2BatchInfoContract/L2Native.L2BatchInfoContract.csproj","contracts","csproj","9","210"
"contracts/L2Native.L2BridgeContract/L2BridgeContract.cs","contracts","csharp","152","7026"
"contracts/L2Native.L2BridgeContract/L2Native.L2BridgeContract.csproj","contracts","csproj","9","204"
"contracts/L2Native.L2FeeContract/L2FeeContract.cs","contracts","csharp","125","6327"
"contracts/L2Native.L2FeeContract/L2Native.L2FeeContract.csproj","contracts","csproj","7","196"
"contracts/L2Native.L2MessageContract/L2MessageContract.cs","contracts","csharp","136","6308"
"contracts/L2Native.L2MessageContract/L2Native.L2MessageContract.csproj","contracts","csproj","9","206"
"contracts/L2Native.L2PaymasterContract/L2Native.L2PaymasterContract.csproj","contracts","csproj","7","208"
"contracts/L2Native.L2PaymasterContract/L2PaymasterContract.cs","contracts","csharp","143","6340"
"contracts/L2Native.L2SystemConfigContract/L2Native.L2SystemConfigContract.csproj","contracts","csproj","7","214"
"contracts/L2Native.L2SystemConfigContract/L2SystemConfigContract.cs","contracts","csharp","108","4454"
"contracts/NeoHub.ChainRegistry/ChainRegistryContract.cs","contracts","csharp","354","15553"
"contracts/NeoHub.ChainRegistry/NeoHub.ChainRegistry.csproj","contracts","csproj","9","194"
"contracts/NeoHub.DARegistry/DARegistryContract.cs","contracts","csharp","94","4403"
"contracts/NeoHub.DARegistry/NeoHub.DARegistry.csproj","contracts","csproj","7","186"
"contracts/NeoHub.EmergencyManager/EmergencyManagerContract.cs","contracts","csharp","182","8456"
"contracts/NeoHub.EmergencyManager/NeoHub.EmergencyManager.csproj","contracts","csproj","7","198"
"contracts/NeoHub.ExternalBridgeBond/ExternalBridgeBondContract.cs","contracts","csharp","255","11329"
"contracts/NeoHub.ExternalBridgeBond/NeoHub.ExternalBridgeBond.csproj","contracts","csproj","9","204"
"contracts/NeoHub.ExternalBridgeEscrow/ExternalBridgeEscrowContract.cs","contracts","csharp","297","13683"
"contracts/NeoHub.ExternalBridgeEscrow/NeoHub.ExternalBridgeEscrow.csproj","contracts","csproj","9","208"
"contracts/NeoHub.ExternalBridgeRegistry/ExternalBridgeRegistryContract.cs","contracts","csharp","215","9963"
"contracts/NeoHub.ExternalBridgeRegistry/NeoHub.ExternalBridgeRegistry.csproj","contracts","csproj","9","212"
"contracts/NeoHub.ExternalBridgeStubVerifier/ExternalBridgeStubVerifierContract.cs","contracts","csharp","46","2216"
"contracts/NeoHub.ExternalBridgeStubVerifier/NeoHub.ExternalBridgeStubVerifier.csproj","contracts","csproj","9","220"
"contracts/NeoHub.ForcedInclusion/ForcedInclusionContract.cs","contracts","csharp","337","16210"
"contracts/NeoHub.ForcedInclusion/NeoHub.ForcedInclusion.csproj","contracts","csproj","7","196"
"contracts/NeoHub.GovernanceController/GovernanceControllerContract.cs","contracts","csharp","432","20817"
"contracts/NeoHub.GovernanceController/NeoHub.GovernanceController.csproj","contracts","csproj","7","206"
"contracts/NeoHub.GovernanceFraudVerifier/GovernanceFraudVerifierContract.cs","contracts","csharp","195","8963"
"contracts/NeoHub.GovernanceFraudVerifier/NeoHub.GovernanceFraudVerifier.csproj","contracts","csproj","9","214"
"contracts/NeoHub.MessageRouter/MessageRouterContract.cs","contracts","csharp","258","12623"
"contracts/NeoHub.MessageRouter/NeoHub.MessageRouter.csproj","contracts","csproj","9","194"
"contracts/NeoHub.MpcCommitteeFraudVerifier/MpcCommitteeFraudVerifierContract.cs","contracts","csharp","285","13927"
"contracts/NeoHub.MpcCommitteeFraudVerifier/NeoHub.MpcCommitteeFraudVerifier.csproj","contracts","csproj","9","218"
"contracts/NeoHub.MpcCommitteeVerifier/MpcCommitteeVerifierContract.cs","contracts","csharp","419","19342"
"contracts/NeoHub.MpcCommitteeVerifier/NeoHub.MpcCommitteeVerifier.csproj","contracts","csproj","9","208"
"contracts/NeoHub.OptimisticChallenge/NeoHub.OptimisticChallenge.csproj","contracts","csproj","7","204"
"contracts/NeoHub.OptimisticChallenge/OptimisticChallengeContract.cs","contracts","csharp","276","14199"
"contracts/NeoHub.RestrictedExecutionFraudVerifier/NeoHub.RestrictedExecutionFraudVerifier.csproj","contracts","csproj","9","232"
"contracts/NeoHub.RestrictedExecutionFraudVerifier/RestrictedExecutionFraudVerifierContract.cs","contracts","csharp","457","19885"
"contracts/NeoHub.SequencerBond/NeoHub.SequencerBond.csproj","contracts","csproj","7","192"
"contracts/NeoHub.SequencerBond/SequencerBondContract.cs","contracts","csharp","237","10237"
"contracts/NeoHub.SequencerRegistry/NeoHub.SequencerRegistry.csproj","contracts","csproj","7","200"
"contracts/NeoHub.SequencerRegistry/SequencerRegistryContract.cs","contracts","csharp","254","11140"
"contracts/NeoHub.SettlementManager/NeoHub.SettlementManager.csproj","contracts","csproj","9","202"
"contracts/NeoHub.SettlementManager/SettlementManagerContract.cs","contracts","csharp","506","24506"
"contracts/NeoHub.SharedBridge/NeoHub.SharedBridge.csproj","contracts","csproj","9","192"
"contracts/NeoHub.SharedBridge/SharedBridgeContract.cs","contracts","csharp","438","18211"
"contracts/NeoHub.TokenRegistry/NeoHub.TokenRegistry.csproj","contracts","csproj","9","194"
"contracts/NeoHub.TokenRegistry/TokenRegistryContract.cs","contracts","csharp","126","4894"
"contracts/NeoHub.VerifierRegistry/NeoHub.VerifierRegistry.csproj","contracts","csproj","9","200"
"contracts/NeoHub.VerifierRegistry/VerifierRegistryContract.cs","contracts","csharp","154","7362"
"contracts/README.md","contracts","markdown","66","3472"
"CONTRIBUTING.md","other","markdown","167","8853"
"Directory.Build.props","ci-governance","other","31","1424"
"doc.md","root-governance-docs","markdown","1702","42748"
"docs/architecture-atlas.md","docs","markdown","79","5681"
"docs/architecture-glossary.md","docs","markdown","221","16548"
"docs/architecture-l1-vs-l2.md","docs","markdown","255","13467"
"docs/architecture-l2-lifecycle.md","docs","markdown","393","20912"
"docs/architecture-trust-boundaries.md","docs","markdown","226","14047"
"docs/architecture-walkthrough.md","docs","markdown","312","19105"
"docs/architecture-wire-formats.md","docs","markdown","235","13919"
"docs/audit/production-readiness-audit.md","docs","markdown","261","16841"
"docs/audit/repository-coverage-ledger.md","docs","markdown","28","4343"
"docs/external-bridge-evm-chains.md","docs","markdown","314","15408"
"docs/external-bridge-roadmap.md","docs","markdown","271","12082"
"docs/figures/architecture.svg","docs","svg","128","8790"
"docs/figures/architecture/admission-states.svg","docs","svg","92","4934"
"docs/figures/architecture/bridge-sequences.svg","docs","svg","160","9908"
"docs/figures/architecture/byte-layout-depositpayload.svg","docs","svg","77","5550"
"docs/figures/architecture/byte-layout-externalcrosschainmessage.svg","docs","svg","131","9023"
"docs/figures/architecture/byte-layout-l2batchcommitment.svg","docs","svg","194","11762"
"docs/figures/architecture/byte-layout-l2chainconfig.svg","docs","svg","184","10843"
"docs/figures/architecture/byte-layout-publicinputs.svg","docs","svg","123","8204"
"docs/figures/architecture/chapter-map.svg","docs","svg","89","5861"
"docs/figures/architecture/creation-lifecycle.svg","docs","svg","195","12247"
"docs/figures/architecture/cross-l2-messaging-sequence.svg","docs","svg","122","7951"
"docs/figures/architecture/cross-tier-verification.svg","docs","svg","144","10444"
"docs/figures/architecture/deployment-flow.svg","docs","svg","68","4951"
"docs/figures/architecture/dividing-principle.svg","docs","svg","46","2682"
"docs/figures/architecture/external-bridge-architecture.svg","docs","svg","116","7972"
"docs/figures/architecture/forced-inclusion-step1.svg","docs","svg","77","4722"
"docs/figures/architecture/l1-concerns.svg","docs","svg","174","11609"
"docs/figures/architecture/l1-l2-bridge.svg","docs","svg","112","7593"
"docs/figures/architecture/l1-l2-decision-tree.svg","docs","svg","112","7323"
"docs/figures/architecture/l2-anatomy.svg","docs","svg","94","5476"
"docs/figures/architecture/l2-components.svg","docs","svg","152","9977"
"docs/figures/architecture/l2-concerns.svg","docs","svg","116","7866"
"docs/figures/architecture/neohub-anatomy.svg","docs","svg","103","6911"
"docs/figures/architecture/new-l2-scaffold-tree.svg","docs","svg","80","5115"
"docs/figures/architecture/reading-paths.svg","docs","svg","62","5022"
"docs/figures/architecture/runtime-channels.svg","docs","svg","120","7512"
"docs/figures/architecture/settlement-sequence.svg","docs","svg","111","6769"
"docs/figures/architecture/system-tiers.svg","docs","svg","141","9873"
"docs/figures/architecture/trust-boundaries.svg","docs","svg","107","8007"
"docs/figures/architecture/trust-minimization-gradient.svg","docs","svg","116","8318"
"docs/figures/forced-inclusion.svg","docs","svg","135","9120"
"docs/figures/proof-aggregation.svg","docs","svg","145","9945"
"docs/figures/README.md","docs","markdown","47","2946"
"docs/figures/telemetry-pipeline.svg","docs","svg","128","8626"
"docs/figures/trust-spectrum.svg","docs","svg","142","7729"
"docs/figures/tx-lifecycle.svg","docs","svg","147","8298"
"docs/figures/visual-guide/batch-lifecycle.svg","docs","svg","81","6575"
"docs/figures/visual-guide/data-structures.svg","docs","svg","74","6573"
"docs/figures/visual-guide/deployment-pipeline.svg","docs","svg","75","6092"
"docs/figures/visual-guide/deposit-flow.svg","docs","svg","68","4988"
"docs/figures/visual-guide/external-bridge-flow.svg","docs","svg","75","6243"
"docs/figures/visual-guide/generate.ps1","docs","other","395","23134"
"docs/figures/visual-guide/module-map.svg","docs","svg","85","6847"
"docs/figures/visual-guide/operator-runbook.svg","docs","svg","50","4486"
"docs/figures/visual-guide/project-artifact-map.svg","docs","svg","74","6025"
"docs/figures/visual-guide/README.md","docs","markdown","20","466"
"docs/figures/visual-guide/system-context.svg","docs","svg","71","6088"
"docs/figures/visual-guide/testing-matrix.svg","docs","svg","75","6092"
"docs/figures/visual-guide/trust-boundaries-map.svg","docs","svg","59","6009"
"docs/figures/visual-guide/watcher-state-machine.svg","docs","svg","56","5151"
"docs/figures/visual-guide/withdrawal-flow.svg","docs","svg","70","5165"
"docs/getting-started.md","docs","markdown","169","7010"
"docs/launching-an-l2.md","docs","markdown","790","36817"
"docs/persistence.md","docs","markdown","226","9354"
"docs/plan-application-engine-and-mpt.md","docs","markdown","201","9271"
"docs/README.md","docs","markdown","260","16684"
"docs/release-readiness-checklist.md","docs","markdown","93","4030"
"docs/rust-supply-chain-policy.md","docs","markdown","87","3424"
"docs/security-model.md","docs","markdown","175","10677"
"docs/spec-gap-plan.md","docs","markdown","275","13993"
"docs/SUMMARY.md","docs","markdown","44","1498"
"docs/tech-stack-coverage.md","docs","markdown","212","14617"
"docs/telemetry.md","docs","markdown","223","9471"
"docs/testing-approach.md","docs","markdown","167","10312"
"docs/visual-guide.md","docs","markdown","74","2195"
"docs/wallet-integration.md","docs","markdown","166","6332"
"docs/zh/ARCHITECTURE.md","docs","markdown","187","10020"
"docs/zh/architecture-atlas.md","docs","markdown","73","5699"
"docs/zh/architecture-glossary.md","docs","markdown","219","16438"
"docs/zh/architecture-l1-vs-l2.md","docs","markdown","213","12416"
"docs/zh/architecture-l2-lifecycle.md","docs","markdown","362","19388"
"docs/zh/architecture-trust-boundaries.md","docs","markdown","205","13268"
"docs/zh/architecture-walkthrough.md","docs","markdown","295","17907"
"docs/zh/architecture-wire-formats.md","docs","markdown","201","13347"
"docs/zh/external-bridge-evm-chains.md","docs","markdown","285","14760"
"docs/zh/external-bridge-roadmap.md","docs","markdown","229","10802"
"docs/zh/figures/architecture.svg","docs","svg","102","7296"
"docs/zh/figures/architecture/admission-states.svg","docs","svg","84","4723"
"docs/zh/figures/architecture/bridge-sequences.svg","docs","svg","142","8893"
"docs/zh/figures/architecture/byte-layout-depositpayload.svg","docs","svg","76","5470"
"docs/zh/figures/architecture/byte-layout-externalcrosschainmessage.svg","docs","svg","131","8888"
"docs/zh/figures/architecture/byte-layout-l2batchcommitment.svg","docs","svg","169","10801"
"docs/zh/figures/architecture/byte-layout-l2chainconfig.svg","docs","svg","180","10633"
"docs/zh/figures/architecture/byte-layout-publicinputs.svg","docs","svg","123","8152"
"docs/zh/figures/architecture/chapter-map.svg","docs","svg","80","5347"
"docs/zh/figures/architecture/creation-lifecycle.svg","docs","svg","169","10975"
"docs/zh/figures/architecture/cross-l2-messaging-sequence.svg","docs","svg","108","7269"
"docs/zh/figures/architecture/cross-tier-verification.svg","docs","svg","134","9880"
"docs/zh/figures/architecture/deployment-flow.svg","docs","svg","64","4688"
"docs/zh/figures/architecture/dividing-principle.svg","docs","svg","44","2554"
"docs/zh/figures/architecture/external-bridge-architecture.svg","docs","svg","108","7483"
"docs/zh/figures/architecture/forced-inclusion-step1.svg","docs","svg","69","4445"
"docs/zh/figures/architecture/l1-concerns.svg","docs","svg","165","11013"
"docs/zh/figures/architecture/l1-l2-bridge.svg","docs","svg","105","7241"
"docs/zh/figures/architecture/l1-l2-decision-tree.svg","docs","svg","104","6932"
"docs/zh/figures/architecture/l2-anatomy.svg","docs","svg","87","5228"
"docs/zh/figures/architecture/l2-components.svg","docs","svg","149","9716"
"docs/zh/figures/architecture/l2-concerns.svg","docs","svg","109","7460"
"docs/zh/figures/architecture/neohub-anatomy.svg","docs","svg","93","6493"
"docs/zh/figures/architecture/new-l2-scaffold-tree.svg","docs","svg","74","4919"
"docs/zh/figures/architecture/reading-paths.svg","docs","svg","57","4769"
"docs/zh/figures/architecture/runtime-channels.svg","docs","svg","112","7193"
"docs/zh/figures/architecture/settlement-sequence.svg","docs","svg","96","6029"
"docs/zh/figures/architecture/system-tiers.svg","docs","svg","126","8893"
"docs/zh/figures/architecture/trust-boundaries.svg","docs","svg","101","7299"
"docs/zh/figures/architecture/trust-minimization-gradient.svg","docs","svg","114","8131"
"docs/zh/figures/forced-inclusion.svg","docs","svg","97","6462"
"docs/zh/figures/proof-aggregation.svg","docs","svg","123","8451"
"docs/zh/figures/telemetry-pipeline.svg","docs","svg","114","7743"
"docs/zh/figures/trust-spectrum.svg","docs","svg","131","6941"
"docs/zh/figures/tx-lifecycle.svg","docs","svg","122","7197"
"docs/zh/getting-started.md","docs","markdown","164","6938"
"docs/zh/launching-an-l2.md","docs","markdown","720","34448"
"docs/zh/persistence.md","docs","markdown","209","8996"
"docs/zh/plan-application-engine-and-mpt.md","docs","markdown","176","8740"
"docs/zh/README.md","docs","markdown","231","13342"
"docs/zh/release-readiness-checklist.md","docs","markdown","89","3589"
"docs/zh/rust-supply-chain-policy.md","docs","markdown","81","3171"
"docs/zh/security-model.md","docs","markdown","154","10006"
"docs/zh/spec-gap-plan.md","docs","markdown","209","10998"
"docs/zh/SUMMARY.md","docs","markdown","44","1352"
"docs/zh/tech-stack-coverage.md","docs","markdown","187","13692"
"docs/zh/telemetry.md","docs","markdown","213","8883"
"docs/zh/testing-approach.md","docs","markdown","156","9499"
"docs/zh/visual-guide.md","docs","markdown","72","2162"
"docs/zh/wallet-integration.md","docs","markdown","149","6081"
"docs/zh/WHITEPAPER.md","docs","markdown","541","31888"
"docs/zh/zksync-comparison.md","docs","markdown","194","11935"
"docs/zksync-comparison.md","docs","markdown","210","12954"
"external/foreign-contracts/eth/.gitignore","foreign-contracts","other","8","104"
"external/foreign-contracts/eth/foundry.toml","foreign-contracts","toml","20","322"
"external/foreign-contracts/eth/README.md","foreign-contracts","markdown","197","7663"
"external/foreign-contracts/eth/src/NeoExternalBridgeRouter.sol","foreign-contracts","solidity","394","18401"
"external/foreign-contracts/eth/test/NeoExternalBridgeRouter.t.sol","foreign-contracts","solidity","351","14590"
"external/foreign-contracts/eth/test/NeoExternalBridgeRouterMultiChain.t.sol","foreign-contracts","solidity","383","17854"
"external/foreign-contracts/sol/Anchor.toml","foreign-contracts","toml","20","445"
"external/foreign-contracts/sol/Cargo.lock","foreign-contracts","other","1957","50782"
"external/foreign-contracts/sol/Cargo.toml","foreign-contracts","toml","13","209"
"external/foreign-contracts/sol/programs/neo-external-bridge-router/Cargo.toml","foreign-contracts","toml","20","475"
"external/foreign-contracts/sol/programs/neo-external-bridge-router/src/lib.rs","foreign-contracts","rust","640","25080"
"external/foreign-contracts/sol/README.md","foreign-contracts","markdown","126","5613"
"external/foreign-contracts/tron/README.md","foreign-contracts","markdown","109","4840"
"external/neo","upstream-submodule-boundary","other","0","0"
"external/neo-devpack-dotnet","upstream-submodule-boundary","other","0","0"
"external/neo-riscv-vm","upstream-submodule-boundary","other","0","0"
"external/neo-zkvm","upstream-submodule-boundary","other","0","0"
"global.json","other","json","7","81"
"IMPLEMENTATION_STATUS.md","root-governance-docs","markdown","337","56081"
"LICENSE","root-governance-docs","other","22","1072"
"Neo.L2.sln","ci-governance","other","1573","128923"
"README.md","root-governance-docs","markdown","236","19404"
"samples/contracts/README.md","samples","markdown","65","3184"
"samples/contracts/Sample.CrossChainGreeter/CrossChainGreeter.cs","samples","csharp","97","4714"
"samples/contracts/Sample.CrossChainGreeter/Sample.CrossChainGreeter.csproj","samples","csproj","11","267"
"samples/contracts/Sample.WithdrawalDemo/Sample.WithdrawalDemo.csproj","samples","csproj","11","261"
"samples/contracts/Sample.WithdrawalDemo/WithdrawalDemo.cs","samples","csharp","105","5285"
"samples/exchange-validium.config.json","samples","json","17","894"
"samples/executors/README.md","samples","markdown","67","3570"
"samples/executors/Sample.CounterChainExecutor/CounterChainExecutor.cs","samples","csharp","275","12091"
"samples/executors/Sample.CounterChainExecutor/CounterTxBuilder.cs","samples","csharp","61","2540"
"samples/executors/Sample.CounterChainExecutor/ICounterChainState.cs","samples","csharp","56","2143"
"samples/executors/Sample.CounterChainExecutor/KeyedStateStoreAdapter.cs","samples","csharp","59","2110"
"samples/executors/Sample.CounterChainExecutor/README.md","samples","markdown","92","4868"
"samples/executors/Sample.CounterChainExecutor/Sample.CounterChainExecutor.csproj","samples","csproj","14","420"
"samples/gaming-rollup.config.json","samples","json","17","870"
"samples/general-rollup.config.json","samples","json","17","671"
"samples/privacy-sidechain.config.json","samples","json","17","886"
"samples/README.md","samples","markdown","131","7372"
"samples/watcher-configs/arbitrum-one.toml","samples","toml","33","1547"
"samples/watcher-configs/bsc-mainnet.toml","samples","toml","27","1122"
